state,official_languages,addl_official_languages
Andhra Pradesh,Telugu,Urdu[40]
Arunachal Pradesh,English,—
Assam,Assamese,"Bengali, Bodo"
Bihar,Hindi,Urdu
Chhattisgarh,Hindi,Chhattisgarhi
Goa,Konkani,Marathi
Gujarat,Gujarati,—
Haryana,Hindi,Punjabi[41][42]
Himachal Pradesh,Hindi,Sanskrit[44]
Jharkhand,Hindi,"Angika, Bengali, Bhojpuri, Bhumij, Ho, Kharia, Khortha, Kurmali, Kurukh, Magahi, Maithili, Mundari, Nagpuri, Odia, Santali, Urdu[45][46]"
Karnataka,Kannada,—
Kerala,Malayalam,English[47]
Madhya Pradesh,Hindi,—
Maharashtra,Marathi,—
Manipur,Meitei,English
Meghalaya,English,Khasi[b]
Mizoram,"English, Hindi, Mizo",—
Nagaland,English,—
Odisha,Odia,—
Punjab,Punjabi,—
Rajasthan,Hindi,English
Sikkim,"English, Nepali","Bhutia, Gurung, Lepcha, Limbu, Manggar, Mukhia, Newari, Rai, Sherpa, Tamang"
Tamil Nadu,Tamil,English
Telangana,Telugu,Urdu[55]
Tripura,"Bengali, English, Kokborok",—
Uttar Pradesh,Hindi,Urdu
Uttarakhand,Hindi,Sanskrit[57]
West Bengal,,